
# sample
가꾸다 栽培する、装う
가라앉다 沈む、収まる、和らぐ
가렵다 かゆい
가리키다 指す、示す、指名する
간직하다 大切にしまっておく
강하다 強い
게으르다 怠ける
견디다 耐える、忍ぶ
겹치다 重なる
고달프다 疲れ切ってだるい、辛い
고소하다 香ばしい
공손하다 礼儀正しい
괴롭다 つらい
괴롭히다 苦しめる
구르다 転がる、転がっている
궁금하다 気になる
권하다 勧める
귀찮다 面倒くさい
귀하다 尊い
그리워하다 慕う、恋しがる
그립다 懐かしい
그만두다 止める・辞める
기울이다 傾ける
까다롭다 気難しい
깨닫다 悟る、目覚める
깨뜨리다 破る、割る、ぶち壊す
깨우다 覚ます、起こす
꺼지다 消える、止まる
꼼꼼하다 几帳面だ
꾀하다 企む、計画する、図る
꾸미다 飾る、作成する
꾸짖다 叱る
끊어지다 切れる、絶える、止まる
끓임없다 絶え間ない
끼어들다 割り込む
나서다 出る、乗り出す、差し出る
나아가다 進む、進出する
나아지다 よくなる、改まる
나타내다 現す、表す
날리다 飛ぶ
날아가다 飛んで行く、飛ぶ
날아다니다 飛び回る
날아오르다 飛び上がる、飛び立つ
낯설다 見慣れない
낯익다 見覚えがある、馴染みがある
내려다보다 見下ろす、見下す
내밀다 差し出す
내쫓다 追い立てる、追い出す
너그럽다 寛大だ
넉넉하다 十分だ
넓적하다 平たい
넓히다 広げる、広める
넘기다 越す、乗り越える
넘어가다 倒れる、渡る、沈む
넘치다 溢れる、余る、越える
네모나다 四角い
놀랍다 驚くべきだ
놀리다 遊ばせる、回らせる
높이다 高める、敬う
놓이다 緩む、置かれる
놓치다 落とす、逃す、乗り損なう
느긋하다 のんびりしている
느끼하다 脂っこい
늘리다 増やす、伸ばす、豊かにする
늘어나다 増える、伸びる、豊かになる
닐씬하다 痩せている
다가오다 近づいていく
다가오다 近づいてくる
다녀가다 立ち寄る
다루다 扱う、取り上げる
다양하다 多様だ
다투다 喧嘩する、戦う
단단하다 丈夫だ
달라지다 変わる
달려가다 走って行く、駆ける
달아나다 逃げ出す、（ものが）はずれる・なくなる
달콤하다 甘ったるい
담기다 盛られる、籠る
답답하다 歯がゆい
당기다 引っ張る
당연하다 当然である
당하다 やられる、被害をこうむる、される、直面する、こうむる
대단하다 すごい
더정하다 思いやりがある
더하다 よりひどい、より大きい
데려오다 連れて来る
데치다 茹でる
도망가다 逃亡する、逃げて行く
도망치다 逃げる
돌려받다 返してもらう、返却される
돌려보내다 返す、帰らせる、送り返す
돌려주다 返す、返却する
돌리다 回す、動かす、融通する
돌보다 面倒を見る、世話をする
돌아다니다 巡る、歩き回る
돌아보다 振り返る
돌아서다 向き直る、回る
돌어오다 戻っていく、帰る
돌어오다 戻ってくる
동일하다 同じである
되돌리다 取り戻す
되돌아보다 顧みる、振り向く
되살아나다 蘇る・甦る、生き返る
두렷하다 はっきりしている
둔하다 鈍い
둘러보다 ぐるっと見回す（周囲など）
둥글다 丸い
뒤떨어지다 遅れる、遅れを取る、劣る
뒤집다 裏返す、破る
드물다 まれだ
든든하다 心強い
들려주다 聞かせる
들르다 寄る、立ち寄る
들리다 聞こえる
들어오다 入っていく
들어오다 入ってくる
들어주다 聞いてくれる、聞いてあげる、聞き入れる
들이다 (時間を)かける、費やす
따지다 問い詰める
딱딱하다 固い
떠들다 騒ぐ
떠오르다 浮かぶ、思い浮かぶ
떨리다 震える
떨어뜨리다 落とす、降ろす、不合格にする
똑똑하다 利口だ
뚜렷하다 はっきりしている
뛰어가다 走って行く、駆ける
뛰어나다 優れている
뛰어내리다 飛び降りる・飛び下りる
뛰어넘다 飛び越える
뛰어다니다 走り回る、駆け回る
뛰쳐나가다 飛び出す、飛び出る
마련하다 用意する、工夫する
마주치다 偶然会う
망가지다 壊れる、駄目になる
망설이다 躊躇する、ためらう
망하다 滅びる、台無しになる
맞추다 合わせる
매만지다 撫でる
매콤하다 やや辛い
머무르다 泊まる、止まる・留まる・停まる
멈추다 止む、止まる・停まる
멋지다 素敵だ
모자라다 足りない
목마르다 喉がかわく
몰라보다 見忘れる、見間違える
몰려들다 押し寄せる（群れをなして中に入る）
몰리다 押し寄せられる、追い込まれる
못생기다 不細工だ
무너지다 崩れる
무덥다 蒸し暑い
묻히다 埋まる
물러서다 退く、引退する
물려주다 引き継ぐ、譲る
물리다 飽きる
뭉클하다 (胸に)じんとくる
미끄러지다 滑る、スリップする、落ちる
미끄럽다 つるつるしている
미루다 持ち越す、押し付ける
미치다 及ぶ、及ぼす
믿음직스렵사 頼もしい
밀려오다 押し寄せる
밉다 憎い
바닥나다 破れる、擦り切れる・摺り切れる
바라보다 眺める、見る、手が届く
반짝이다 輝く
반하다 惚れる
받아들이다 受け取る、受け入れる
발그레하다 ほんのり赤い
밝히다 明らかにする
버릇없다 行儀が悪い
벌리다 開ける、広げる
벗기다 脱がせる、下ろさせる
벗어나다 切り抜ける、外れる
변하다 変わる
보살피다 世話する、面倒を見る
부끄럽다 恥ずかしい
부딪치다 （能動的に）ぶつかる、衝突する、直面する
